vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,82,2161,44.767229,11.123243,20.737238,-50.69
1,546,2177,44.744385,11.816203,20.258097,-63.84
2,1009,2195,44.716986,12.508507,22.561359,-67.87
3,1471,2216,44.685040,13.200039,22.706856,-70.42
4,1933,2241,44.648555,13.890682,22.740080,-74.52
5,2395,2268,44.607542,14.580319,22.552071,-75.78
6,102,1832,45.259591,11.152480,21.947828,-39.68
7,570,1847,45.236517,11.851905,21.083826,-50.24
8,1037,1866,45.208842,12.550657,22.593235,-63.47
9,1504,1888,45.176574,13.248614,22.968065,-66.18
10,1970,1912,45.139723,13.945657,21.959234,-68.92
11,2436,1940,45.098298,14.641667,22.063015,-70.03
12,122,1502,45.752281,11.182268,22.544382,-33.94
13,594,1518,45.728973,11.888281,20.959476,-43.28
14,1066,1537,45.701019,12.593601,22.190989,-58.93
15,1537,1559,45.668426,13.298104,22.875538,-60.38
16,2008,1583,45.631204,14.001667,22.227371,-63.63
17,2477,1611,45.589362,14.704167,22.344254,-65.11
18,142,1173,46.245263,11.212625,22.376852,-29.27
19,619,1189,46.221720,11.925350,21.818466,-33.91
20,1095,1207,46.193484,12.637363,22.529684,-50.84
21,1571,1229,46.160561,13.348535,21.988739,-57.61
22,2046,1255,46.122963,14.058739,22.529287,-59.13
23,2520,1283,46.080699,14.767850,22.546234,-58.78
24,163,843,46.738506,11.243565,22.511919,-23.62
25,644,859,46.714724,11.963132,22.001429,-27.78
26,1125,878,46.686201,12.681965,21.860809,-41.39
27,1605,900,46.652946,13.399932,21.722235,-54.15
28,2085,926,46.614967,14.116905,22.906668,-56.32
29,2563,954,46.572277,14.832752,22.218351,-55.30
30,184,513,47.231974,11.275108,23.156763,-21.46
31,670,529,47.207951,12.001647,21.899910,-24.56
32,1155,548,47.179138,12.727432,20.628691,-34.86
33,1640,571,47.145545,13.452326,21.026409,-51.14
34,2124,596,47.107182,14.176196,23.356775,-55.28
35,2608,625,47.064059,14.898907,21.498480,-53.12
36,206,183,47.725632,11.307269,20.921482,-19.51
37,696,199,47.701364,12.040918,20.012690,-23.32
38,1186,218,47.672259,12.773790,20.646826,-31.73
39,1676,241,47.638324,13.505744,20.334793,-48.81
40,2165,267,47.599571,14.236644,22.650339,-52.03
41,2653,296,47.556010,14.966352,21.165850,-49.41
