% format: hum_front_[alt]_hPa(city1,city2,yyyy,mm,dd,h).

hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,6,6).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,6).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,7).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,6,7).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,7).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,7).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,7).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,7).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,8).
hum_front_300_hPa(barcis,pordenone,2019,4,6,8).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,8).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,8).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,8).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,9).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,6,9).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,13).
hum_front_300_hPa(lignano_grado,trieste,2019,4,6,13).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,13).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,13).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,14).
hum_front_300_hPa(lignano_grado,trieste,2019,4,6,14).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,14).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,14).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,15).
hum_front_300_hPa(lignano_grado,trieste,2019,4,6,15).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,15).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,15).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,15).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,16).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,6,16).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,6,16).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,16).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,17).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,17).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,17).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,6,17).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,17).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,6).
hum_front_300_hPa(barcis,pordenone,2019,4,7,6).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,6).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,6).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,7).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,7).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,7,7).
