vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,32,837,44.767229,11.123243,18.788845,-13.15
1,211,843,44.744385,11.816203,17.882915,-21.78
2,391,850,44.716986,12.508507,18.346176,-25.01
3,570,858,44.685040,13.200039,18.800844,-27.56
4,748,868,44.648555,13.890682,17.674086,-24.13
5,927,878,44.607542,14.580319,18.264181,-21.40
6,39,709,45.259591,11.152480,18.489626,-6.41
7,221,715,45.236517,11.851905,18.405525,-15.23
8,402,722,45.208842,12.550657,19.678919,-22.84
9,582,731,45.176574,13.248614,20.930998,-26.62
10,763,740,45.139723,13.945657,21.008404,-24.02
11,943,751,45.098298,14.641667,20.285780,-20.42
12,47,582,45.752281,11.182268,19.346701,-0.18
13,230,588,45.728973,11.888281,20.019875,-9.84
14,413,595,45.701019,12.593601,20.981602,-18.95
15,595,603,45.668426,13.298104,21.506260,-21.99
16,777,613,45.631204,14.001667,22.123098,-23.16
17,959,624,45.589362,14.704167,22.324970,-20.90
18,55,454,46.245263,11.212625,21.682377,-1.87
19,240,460,46.221720,11.925350,21.854099,-10.74
20,424,468,46.193484,12.637363,22.454538,-16.48
21,608,476,46.160561,13.348535,22.227657,-19.77
22,792,486,46.122963,14.058739,23.258949,-21.03
23,976,497,46.080699,14.767850,23.904200,-22.10
24,63,326,46.738506,11.243565,25.424973,-2.26
25,249,333,46.714724,11.963132,23.901407,-6.31
26,436,340,46.686201,12.681965,23.424686,-10.37
27,621,349,46.652946,13.399932,23.310162,-17.37
28,807,358,46.614967,14.116905,24.550694,-19.66
29,992,369,46.572277,14.832752,24.144712,-22.25
30,71,199,47.231974,11.275108,27.569656,-0.31
31,259,205,47.207951,12.001647,26.002245,-5.99
32,447,212,47.179138,12.727432,25.318949,-7.76
33,635,221,47.145545,13.452326,26.277203,-9.95
34,822,231,47.107182,14.176196,27.399811,-14.91
35,1010,242,47.064059,14.898907,27.136150,-18.31
36,80,71,47.725632,11.307269,28.036007,1.51
37,270,77,47.701364,12.040918,27.281374,-3.47
38,459,85,47.672259,12.773790,28.342045,-6.75
39,649,93,47.638324,13.505744,28.579613,-10.46
40,838,103,47.599571,14.236644,28.270596,-14.50
41,1027,115,47.556010,14.966352,27.395723,-14.72
